
And|Andromeda|677-3092-5447 9640-5447-4436-3881
Crt|Crater|53740-54682-55705-55282-53740 55282-55687-56633-58188-57283-55705
Cru|Crux|61084-60718 62434-59747
Crv|Corvus|61174-60965-59803-59316-59199 59316-61359-60965
Cvn|Canes Venatici|61317-63125
Cyg|Cygnus|94779-95853-97165-100453-102098 100453-102488-104732-107310 100453-98110-95947
Del|Delphinus|101421-101769-101958-102532-102281-101769
Dor|Dorado|27100-27890-26069-27100 26069-21281-19893
Dra|Draco|87585-87833-85670-85829-87585-94376-97433-94648-89937-83895-80331-78527-75458-68756-61281-56211
Equ|Equuleus|104521-104858-105570-104987-104521
Eri|Eridanus|7588-9007-10602-11407-12413-12486-13847-15510-17797-17874-20042-20535-21393-17651-16611-15474-14146-12843-13701-15197-16537-17378-21444-22109-22701-23875-23972-21594
For|Fornax|13147-14879
Gem|Gemini|31681-34088-35550-35350-32362 35550-36962-37740 36962-37826 36962-36046-34693-36850 34693-33018 34693-32246-30883 32246-30343-29655-28734
Gru|Grus|114131-110997-109268-112122-114421-114131 112122-113638 112122-112623 109268-109111-108085
Her|Hercules|86414-87808-85112-84606-84380-81833-81126-79992-77760 81833-81693-80816-80170 81693-83207-85693-84379 86974-87933-88794 83207-84380 86974-85693
Hor|Horologium|19747-12484-14240
Hya|Hydra|42799-42402-42313-43109-43234-42799 43234-43813-45336-46776-46509-46390-48356-49841-51069-52943-56343-57936-64166-64962
Hyi|Hydrus|2021-17678-12394-11001-9236
Ind|Indus|105319-101772-103227-105319
LMi|Leo Minor|53229-51233-49593-46952 49593-53229
Lac|Lacerta|109937-111104-111022-110609-110538-111169-111022
Leo|Leo|57632-54879-49669-49583-50583-54872-57632 50583-50335-48455-47908 54872-54879
Lep|Lepus|28910-28103-27288-25985-24305 25985-27654-27072-25606-23685 25985-25606 24305-24845 24305-24327 23685-24305 24327-24244 24845-24873
Lib|Libra|77853-76333-74785-72622-73714-76333
Lup|Lupus|77634-78970-78384-77634 78384-76297-75141-75177 75141-73273 76297-76552-74395-71860 74395-71536 71860-70576 71860-73273
Lyn|Lynx|45860-45688-44700-44248-41075-36145-33449-30060
Lyr|Lyra|91262-91971-92420-93194-92791-91971
Men|Mensa|25918-21949
Mic|Microscopium|105140-103738-102831
Mon|Monoceros|29651-30867-34769-30419-29151 34769-39863-37447
Mus|Musca|62322-57363-61199-61585-62322
Nor|Norma|79509-80000-80582-78639-80000 78639-79509
Oct|Octans|107089-112405-70638-107089
Oph|Ophiuchus|86032-86742 84012-86742 86032-83000-79882-81377-84012-85755
Ori|Orion|26727-26311-25930 28691-29426-29038-27913 29426-28614-27989-26727-27366-24436-25930-25336-26207-27989 25336-22449-22549-22730-23123 22449-22509-22845 29038-28614
Pav|Pavo|100751-105858-102395-99240-100751 99240-98495-91792-93015-99240 93015-92609-90098-88866-92609 88866-86929
Peg|Pegasus|1067-113963 113881-112158-109352 113881-112748-112440-109176-107354 113963-112447-112029-109427-107315 677-113881 677-1067 113881-113963
Per|Perseus|17448-18246-18614-18532-17358-15863-14328-13268 15863-14576-14354-13254
Phe|Phoenix|5348-5165-2072-5348 5165-7083-8837-5165-6867-2072-2081-765-2072
Pic|Pictor|32607-27530-27321
PsA|Piscis Austrinus|113368-111954-108661-107608-109422-111188-113246
Psc|Pisces|4889-5742 4889-6193-5742-7097-8198-9487-8833-7884-7007-4906-3760-1645-118268-116771-116928-115738-114971-115830-116771
Pup|Puppis|39757-38146-35264-31685-32768-36377-39429-39757
Pyx|Pyxis|42515-42828-43409
Ret|Reticulum|19780-19921-18597-17440-19780
Scl|Sculptor|116231-4577-115102-116231
Sco|Scorpius|85927-86670-87073-86228-84143-82671-82514-82396-81266-80763-78401 80763-78265 80763-78820
Sct|Scutum|92175-92202-92814-90595-91117-92175
Ser|Serpens|77516-77622-77070-76276-77233-78072-77450-77233 92946-89962-86565-86263-84880
Sex|Sextans|51437-49641
Sge|Sagitta|96837-97365-96757 97365-98337-98920
Sgr|Sagittarius|89931-90496 89642-90185-88635-87072 88635-89931-90185-93506-92041-89931 92041-90496-89341 93506-93864-92855-92041 92855-93085-93683-94820-95168 93864-96406-98688-98412-98032-95347 98032-95294
Tau|Taurus|25428-21881-20889 21421-26451 20205-20455 20205-18724-15900 21421-20889 21421-20894-20205 20889-20648-20455-17847
Tel|Telescopium|90568-90422
Tra|Triangulum Australe|82273-74946-77952-82273
Tri|Triangulum|10670-10064-8796-10670
Tuc|Tucana|110130-114996-1599 114996-2484
UMa|Ursa Major|67301-65378-62956-59774-54061-53910-58001-59774 58001-57399-54539-50372 54539-50801 53910-48402-46853-44471 46853-44127 48402-48319-41704-46733-54061
UMi|Ursa Minor|11767-85822-82080-77055-79822-75097-72607-77055
Vel|Vela|39953-42536-42913-45941-48774-52727-51986-50191-46651-44816-39953
Vir|Virgo|57380-60030-61941-65474-69427-69701-71957 65474-66249-68520-72220 66249-63090-63608 63090-61941
Vol|Volans|37504-34481-39794-37504 39794-35228 39794-41312-44382-39794
Vul|Vulpecula|95771-98543
